STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/4/2012,6.6,0,31.7,15,74
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/5/2012,,0,27.8,14.4,90
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/6/2012,5.8,7.6,22.2,7.8,140
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/7/2012,5.6,0,18.3,4.4,108
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/8/2012,4.6,0,24.4,5,56
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/9/2012,3.8,0,21.7,4.4,77
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/10/2012,5.1,0,24.4,5,21
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/11/2012,5.1,0,21.7,3.3,85
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/12/2012,7.1,0,18.3,0.6,129
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/13/2012,7.4,0,20,1.1,56
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/14/2012,6.3,0,24.4,7.8,127
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/15/2012,8.6,0,28.3,16.1,220
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/16/2012,4.1,4.8,28.3,9.4,246
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/17/2012,6.3,0.5,20,12.8,111
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/18/2012,2.5,0,16.1,6.7,89
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/19/2012,7.6,0,23.3,5.6,175
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/20/2012,6.6,0,26.1,6.7,79
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/21/2012,9.9,15.2,26.7,8.9,174
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/22/2012,3,0,14.4,3.3,108
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/23/2012,4.6,0.8,18.3,4.4,143
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/24/2012,4.1,0,17.8,3.3,132
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/25/2012,,0,23.3,5.6,135
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/26/2012,6.9,0,27.8,17.2,211
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/27/2012,6.9,7.1,30,15.6,159
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/28/2012,5.3,0,21.7,15,134
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/29/2012,10.9,0,29.4,17.8,142
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/30/2012,3.8,0,30,16.7,76
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/1/2012,4.8,0,30,18.3,106
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/2/2012,9.1,0,31.1,19.4,106
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/3/2012,5.3,0,31.7,18.9,122
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/4/2012,7.6,0,28.9,19.4,132
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/5/2012,5.1,0,31.1,21.1,132
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/6/2012,9.4,0,32.2,21.7,85
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/7/2012,3,8.9,33.3,18.3,93
